Time (ET),Block,Description,On Camera (Hosts),Producer Cue
1:00-1:05 PM,Cold Open,Welcome / Saturday recap / Sunday preview / sponsor title card,Podcaster E,Roll Saturday highlight reel
1:05-1:25 PM,Artist 11,Interview + showcase (Music),Podcaster E + Artist 11,
1:25-1:28 PM,Zap Break #1,Live zap leaderboard + Title sponsor 30s segment,Podcaster E,
1:28-1:48 PM,Artist 12,Interview + showcase (Music),Podcaster E + Artist 12,
1:48-1:51 PM,Zap Break #2,Supporting sponsor read,Podcaster E,
1:51-2:11 PM,Artist 13,Interview + showcase (Visual Art),Podcaster E + Artist 13,Visual art screenshare
2:00-2:05 PM,**Host overlap**,Podcaster F joins; E plugs E's show before signing off,Podcaster E + F,Lower-third updates E → F
2:11-2:14 PM,Zap Break #3,Zap leaderboard,Podcaster F,
2:14-2:34 PM,Artist 14,Interview + showcase (Dance),Podcaster F + Artist 14,
2:34-2:37 PM,Zap Break #4,Friend sponsor scroll,Podcaster F,
2:45-2:50 PM,**Host overlap**,Podcaster G joins; F plugs F's show before signing off,Podcaster F + G,Lower-third updates F → G
2:37-2:57 PM,Artist 15,Interview + showcase (Theater),Podcaster F + G + Artist 15,
2:57-3:00 PM,Zap Break #5,Zap leaderboard,Podcaster G,
3:00-3:20 PM,Artist 16,Interview + showcase (Film),Podcaster G + Artist 16,Film clip playback
3:20-3:23 PM,Zap Break #6,Title sponsor 30s segment,Podcaster G,
3:23-3:43 PM,Artist 17,Interview + showcase (Writing),Podcaster G + Artist 17,
3:43-3:46 PM,Zap Break #7,Supporting read,Podcaster G,
3:45-3:50 PM,**Host overlap**,Podcaster H joins; G plugs G's show before signing off,Podcaster G + H,Lower-third updates G → H
3:46-4:06 PM,Artist 18,Interview + showcase (Music),Podcaster H + Artist 18,
4:06-4:09 PM,Zap Break #8,Donation milestone,Podcaster H,
4:09-4:29 PM,Artist 19,Interview + showcase (Visual Art),Podcaster H + Artist 19,
4:29-4:32 PM,Zap Break #9,Friend sponsor scroll,Podcaster H,
4:32-4:50 PM,Artist 20 - Closing Featured,Closing extended segment,Podcaster H + Artist 20,
4:50-5:00 PM,Mission Spotlight + Monday Finale Promo,Artist 21 (finale headliner) preview + Pubkey live finale invite for Monday + final donation push,Podcaster H + Artist 21,Roll Pubkey logo + venue address + Monday date + final zap leaderboard
